text	label	labelSecondary
أثر الذكاء العاطفي للقادة على مراحل عملية التخطيط الإستراتيجي : دراسة تطبيقية على كليات إدارة الأعمال	الإدارة_والسياسات_العامة	التعليم
أثر القدرات الإبداعية للمديرين والسياق التنظيمي على مستوى ومحتوى تطوير المنظمات السعودية	الإدارة_والسياسات_العامة	الإبداع والإبتكار
أثر القدرات الإبداعية للمديرين والسياق التنظيمي على مستوى ومحتوى تطوير المنظمات السعودية	الإدارة_والسياسات_العامة	التنظيم
أثر انتشار فيروس كورونا (COVID-19)على أداء أسواق الأسهم في دول مجلس التعاون الخليجي.	الإدارة_والسياسات_العامة	الصحة
أثر خصائص الوظيفة على الالتزام التنظيمي للعاملين في القطاع الحكومي في المملكة العربية السعودية	الإدارة_والسياسات_العامة	التنظيم
أثر خصائص مجلس الإدارة والملكية المؤسسية في جودة المراجعة الخارجية في الشركات المساهمة السعودية	الإدارة_والسياسات_العامة	اتخاذ القرار
أثر خصائص مجلس الإدارة والملكية المؤسسية في جودة المراجعة الخارجية في الشركات المساهمة السعودية	الإدارة_والسياسات_العامة	المراجعة
أثر خصائص مجلس الإدارة والملكية المؤسسية في جودة المراجعة الخارجية في الشركات المساهمة السعودية	الإدارة_والسياسات_العامة	الجودة
أثر عدد بدائل الاستجابة في مقياس ليكرت على الخصائص السيكومترية للمقياس وقياس الاتجاهات	الإدارة_والسياسات_العامة	إنسانيات
أثر ممارسات القيادة الأخلاقية للمديرين في تحقيق التميز التنظيمي: دراسة تطبيقية على المحافظات التابعة لإمارة مكة المكرمة	الإدارة_والسياسات_العامة	القيادة
أثر ممارسات القيادة الأخلاقية للمديرين في تحقيق التميز التنظيمي: دراسة تطبيقية على المحافظات التابعة لإمارة مكة المكرمة	الإدارة_والسياسات_العامة	التنظيم
أثر وجود المرأة في مجالس الإدارة على تحسين أداء الشركات الإماراتية.	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
أثر وجود المرأة في مجالس الإدارة على تحسين أداء الشركات الإماراتية.	الإدارة_والسياسات_العامة	تمكين المرأة السعودية
أدوار الإدارة الجامعية في مصر في ضوء التحديات المعاصرة	الإدارة_والسياسات_العامة	التعليم
أساس مسؤولية الإدارة الموضوعية	الإدارة_والسياسات_العامة	محاسبة المسؤولية
أساسيات التعلم بالممارسة	الإدارة_والسياسات_العامة	التعليم
أساسيات التفاوض	الإدارة_والسياسات_العامة	المفاوضات
الأبعاد الاجتماعية والاقتصادية والامنية لزيادة العمالة الوافدة ونقص توظيف القوى العاملة الوطنية	الإدارة_والسياسات_العامة	العمالة
الأبعاد الاجتماعية والاقتصادية والامنية لزيادة العمالة الوافدة ونقص توظيف القوى العاملة الوطنية	الإدارة_والسياسات_العامة	توطين
أهمية إدارة المعرفة في تحقيق التنمية الإدارية والاقتصادية	الإدارة_والسياسات_العامة	إدارة المعرفة
آثار جائحة كورونا على الإدارات المالية في منظمات الرعاية الصحية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	الصحة
آليات أداء وظيفة المراجعة الداخلية ودورها في تعظيم القيمة " دراسة ميدانية " 	الإدارة_والسياسات_العامة	المراجعة
آليات أداء وظيفة المراجعة الداخلية ودورها في تعظيم القيمة " دراسة ميدانية " 	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
بحثا عن الحصافة : المشكلة الكامنة في الاصلاح الإداري	الإدارة_والسياسات_العامة	التطوير
برامج الإسكان في المملكه ومدى استفادة الموظفين الحكومين منها	الإدارة_والسياسات_العامة	تشييد وعمران
بطاقة الاداء المتوازن خطوة بخطوة للمؤسسات	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
بناء المؤسسات المستدامة : العامل الإنساني	الإدارة_والسياسات_العامة	إنسانيات
بناء مؤشر لقياس إنتاجية الموظف الحكومي	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
تأثير الاختلافات الثقافية على إدارة المعرفة في المشاريع العالمية 	الإدارة_والسياسات_العامة	إدارة المعرفة
تأثير الاختلافات الثقافية على إدارة المعرفة في المشاريع العالمية 	الإدارة_والسياسات_العامة	إدارة المشاريع
تجارب التنمية الإدارية في مجلس التعاون الخليجي	الإدارة_والسياسات_العامة	التنمية الإدارية
تجارب التنمية الإدارية في مجلس التعاون الخليجي	الإدارة_والسياسات_العامة	مجلس التعاون الخليجي
تجربة الابتعاث في المملكة العربية السعودية	الإدارة_والسياسات_العامة	المبتعثين
تجربة معهد الإدارة العامة في حوكمة إدارة وتنفيذ مبادراته في برنامج التحول الوطني 2020	الإدارة_والسياسات_العامة	رؤية المملكة
تجربة معهد الإدارة العامة في حوكمة إدارة وتنفيذ مبادراته في برنامج التحول الوطني 2020	الإدارة_والسياسات_العامة	توثيق
تجربة معهد الإدارة العامة في حوكمة إدارة وتنفيذ مبادراته في برنامج التحول الوطني 2020	الإدارة_والسياسات_العامة	الحوكمة
تحديات الإدارة في القرن الواحد والعشرين	الإدارة_والسياسات_العامة	أطر نظرية
تحديات تطبيق خطط التعاقب الوظيفي في المنظمات السعودية - دراسة حالة: الهيئات والمؤسسات الحكومية	الإدارة_والسياسات_العامة	القيادة
تحديات ومستقبل التحول الرقمي في المملكة العربية السعودية	الإدارة_والسياسات_العامة	رؤية المملكة
تحديث مفهوم المساءلة ليواكب واقع إدارة القطاع العام في القرن الحادي والعشرين	الإدارة_والسياسات_العامة	الشفافية والنزاهة
تحديث مفهوم المساءلة ليواكب واقع إدارة القطاع العام في القرن الحادي والعشرين	الإدارة_والسياسات_العامة	التطوير
تحديد الحجم الأمثل للإنفاق الحكومي في المملكة العربية السعودية	الإدارة_والسياسات_العامة	الإنفاق الحكومي
تحسين الجودة والأداء في الرعاية الصحية	الإدارة_والسياسات_العامة	الصحة
تحسين الجودة والأداء في الرعاية الصحية	الإدارة_والسياسات_العامة	الجودة
تحليل السياسات العامة	الإدارة_والسياسات_العامة	أطر نظرية
تحليل العلاقة السببية بين الانفاق الحكومي والايرادات الحكومية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	الإنفاق الحكومي
تخطيط الخدمات الصحية	الإدارة_والسياسات_العامة	الصحة
تخطيط الخدمات الصحية	الإدارة_والسياسات_العامة	الإدارة الإستراتيجية
تخطيط تعاقب القيادات الإدارية الحكزمية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	القيادة
تدريب القيادات ..مرجع في الأنشطة	الإدارة_والسياسات_العامة	التعليم
تدريب القيادات ..مرجع في الأنشطة	الإدارة_والسياسات_العامة	القيادة
تـرويض النمر الورقي	الإدارة_والسياسات_العامة	الجودة
تـرويض النمر الورقي	الإدارة_والسياسات_العامة	الإبداع والإبتكار
تصميم نظم التدريب والتطوير	الإدارة_والسياسات_العامة	التعليم
تصميم نظم للتعلم الالكتروني ذات وعي اجتماعي من خلال ادارة المعرفة	الإدارة_والسياسات_العامة	إدارة المعرفة
تصميم نظم للتعلم الالكتروني ذات وعي اجتماعي من خلال ادارة المعرفة	الإدارة_والسياسات_العامة	التعليم
تصنيف الوظائف وتطبيقاتها	الإدارة_والسياسات_العامة	التنظيم
تصور مقترح لتطبيق مدخل الريادة الاستراتيجية للقيادات الجامعية في إدارة مؤسسات التعليم العالي بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	القيادة
تصور مقترح لتطبيق مدخل الريادة الاستراتيجية للقيادات الجامعية في إدارة مؤسسات التعليم العالي بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	التعليم
تطور الإدارة العامة في المملكة خلال مائة عام	الإدارة_والسياسات_العامة	توثيق
تطور أنظمة الحكم والإدارة وجهود التنمية الإدارية (انجليزي) طبعة ثانية	الإدارة_والسياسات_العامة	توثيق
تطور أنظمة الحكم والإدارة وجهود التنمية الإدارية في المملكة (الطبعة الثانية)	الإدارة_والسياسات_العامة	توثيق
تطوير القيادات الإدارية في عمادات شؤؤن الطلاب بالجامعات الحكومية السعودية في ضوء التحديات المعاصرة والتجارب العالمية	الإدارة_والسياسات_العامة	القيادة
تطوير القيادات الإدارية في عمادات شؤؤن الطلاب بالجامعات الحكومية السعودية في ضوء التحديات المعاصرة والتجارب العالمية	الإدارة_والسياسات_العامة	التعليم
تطوير القيادة في المؤسسات الحكومية	الإدارة_والسياسات_العامة	القيادة
تطوير المنظمات	الإدارة_والسياسات_العامة	التطوير
تطوير المنظمات عملية إدارة التغيير التنظيمي	الإدارة_والسياسات_العامة	إدارة التغيير
تطوير المنظمات عملية إدارة التغيير التنظيمي	الإدارة_والسياسات_العامة	التنظيم
تطوير أنظمة الحكم والإدارة - إنجليزي	الإدارة_والسياسات_العامة	توثيق
تطوير أنظمة الحكم والإدارة - عربي عادي	الإدارة_والسياسات_العامة	توثيق
تطوير أنظمة الحكم والإدارة _عربي فاخر	الإدارة_والسياسات_العامة	توثيق
تعلم القيادة الأصول الخمسة الأساسية لتصبح قائدا	الإدارة_والسياسات_العامة	القيادة
تقدير التكلفة الاجتماعية للتلوث الهوائي في الرياض بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	البيئة
تقدير الطلب على العمالة الوافدة في القطاع الخاص وامكانية احلالها بالعمالة الوطنية في المملكة	الإدارة_والسياسات_العامة	العمالة
تقدير الطلب على العمالة الوافدة في القطاع الخاص وامكانية احلالها بالعمالة الوطنية في المملكة	الإدارة_والسياسات_العامة	توطين
تقويم الأداء وسيلة تحسين النوعية	الإدارة_والسياسات_العامة	الجودة
تقويم البرامج والسياسات الاجتماعية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
تقويم البرامج والسياسات الاجتماعية	الإدارة_والسياسات_العامة	إنسانيات
تقييم اداء الادارات المالية في الادارة العامة الكويتية من منظور العاملين في تلك الإدارات	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
تقييم الأطباء لخدمات الرعاية الصحية الأولية(بحث)	الإدارة_والسياسات_العامة	الصحة
تقييم المنهجية العلمية للإطار الفكري لنظرية المحاسبة الإيجابية	الإدارة_والسياسات_العامة	أطر نظرية
تقييم دور الأجهزة الرقابية في رفع مستوى النزاهة والشفافية في الأجهزة الحكومية بالمملكة العربية السعودية: دراسة تطبيقية	الإدارة_والسياسات_العامة	الأجهزة الرقابية
تقييم دور الأجهزة الرقابية في رفع مستوى النزاهة والشفافية في الأجهزة الحكومية بالمملكة العربية السعودية: دراسة تطبيقية	الإدارة_والسياسات_العامة	الشفافية والنزاهة
تقييم فعالية المنظمات: دور مقاييس الأداء	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
تقييم لمنهجية المعاينة للأعمال العلمية المنشورة في مجلات العلوم الإدارية : دراسة تطبيقية	الإدارة_والسياسات_العامة	أخرى
تقييم واقع إدارة الأزمات والكوارث	الإدارة_والسياسات_العامة	إداره الأزمات والمخاطر
تقييم وإدارة المخاطر البيئية: الربط بين إدارة الحكومة المحلية وإدارة الأزمات	الإدارة_والسياسات_العامة	البيئة
تقييم وإدارة المخاطر البيئية: الربط بين إدارة الحكومة المحلية وإدارة الأزمات	الإدارة_والسياسات_العامة	إداره الأزمات والمخاطر
تمكين المواطنين من المشاركة في تحسين أداء الاجهزة الحكومية	الإدارة_والسياسات_العامة	التمكين
تمكين المواطنين من المشاركة في تحسين أداء الاجهزة الحكومية	الإدارة_والسياسات_العامة	التطوير
تمكين المواطنين من المشاركة في تحسين أداء الاجهزة الحكومية	الإدارة_والسياسات_العامة	خدمة العملاء
تمكين الموظف : اداة استراتيجية للحصول على ميزة تنافسية مستدامة	الإدارة_والسياسات_العامة	التمكين
توطين الوظائف في قطاع التجارة : دراسة ميدانية	الإدارة_والسياسات_العامة	توطين
توطين مبدأ الجدارة في اختيار وتعيين القيادات الادارية الحكومية في المملكة العربية السعودية (في ضوء الخبرات الدولية)	الإدارة_والسياسات_العامة	القيادة
توقعات المستفيدين والأبعاد المحددة لرضاهم عن جودة الخدمات: دراسة على الأجهزة الحكومية المتعاملة مباشرة	الإدارة_والسياسات_العامة	خدمة العملاء
توقعات المستفيدين والأبعاد المحددة لرضاهم عن جودة الخدمات: دراسة على الأجهزة الحكومية المتعاملة مباشرة	الإدارة_والسياسات_العامة	الجودة
ثقافة منظمات الأعمال.المفاهيم والأسس والتطبيقات	الإدارة_والسياسات_العامة	أطر نظرية
جهود التطوير الإداري في الكويت : دراسة تقييمية ميدانية	الإدارة_والسياسات_العامة	التطوير
جوانب تنفيذية حاسمة في ادارة الجودة الكلية	الإدارة_والسياسات_العامة	الجودة
جوائز الجودة : دراسة مقارنة من منظور تربوي	الإدارة_والسياسات_العامة	الجودة
جوائز الجودة : دراسة مقارنة من منظور تربوي	الإدارة_والسياسات_العامة	التربية
جودة الحياة الوظيفية وعلاقتها بإدارة الأداء - دراسة ميدانية لمنسوبي الأجزة الحكومية بمدينة الرياض	الإدارة_والسياسات_العامة	الجودة
جودة الحياة الوظيفية وعلاقتها بإدارة الأداء - دراسة ميدانية لمنسوبي الأجزة الحكومية بمدينة الرياض	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
جودة الخدمات البريدية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	البريد
جودة الخدمات البريدية في المملكة العربية السعودية	الإدارة_والسياسات_العامة	الجودة
جودة الخدمات المقدمة لطلبة الجامعات السعودية وأثرها في تحسين رضاهم	الإدارة_والسياسات_العامة	خدمة العملاء
جودة الخدمات المقدمة لطلبة الجامعات السعودية وأثرها في تحسين رضاهم	الإدارة_والسياسات_العامة	التعليم
جودة الخدمات المقدمة لطلبة الجامعات السعودية وأثرها في تحسين رضاهم	الإدارة_والسياسات_العامة	الجودة
جودة المعلومات المحاسبية: دراسة تطبيقية على الشركات السعودية المساهمة للفترة من 1991 - 2009م	الإدارة_والسياسات_العامة	الجودة
حدود الالتزام المهني لمراجع الحسابات الخارجي تجاه العملاء عند استخدامه لأسلوب المصادقات	الإدارة_والسياسات_العامة	المراجعة
حلقات الجودة	الإدارة_والسياسات_العامة	الجودة
حماية المستهلك	الإدارة_والسياسات_العامة	خدمة العملاء
حوكمة الشركات والمسئولية الاجتماعية للشركات	الإدارة_والسياسات_العامة	الحوكمة
حوكمة المدن : دراسة ميدانية	الإدارة_والسياسات_العامة	الحوكمة
خادم الحرمين الشريفين الرؤية الشاملة لإدارة التنمية	الإدارة_والسياسات_العامة	توثيق
خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود رائد التنمية الحديثة	الإدارة_والسياسات_العامة	توثيق
خدمات المكتبات في المملكة(بحث)	الإدارة_والسياسات_العامة	مكتبات
خدمات فحص التاكيدات ومدى تطبيقها في البيئة السعودية : : دراسة تطبيقية من منظور معدي البيانات	الإدارة_والسياسات_العامة	المراجعة
خدمة العملاء الإلكترونية	الإدارة_والسياسات_العامة	خدمة العملاء
خصخصة شركات الكهرباء الأردنية : دراسة ميدانية لاتجاهات مديري اداراتها	الإدارة_والسياسات_العامة	الكهرباء
داخل الشبكات التعاونية : عشرة دروس مستفادة لمديري القطاع العام	الإدارة_والسياسات_العامة	أطر نظرية
داخل وحدة الحفز	الإدارة_والسياسات_العامة	القيادة
دراسة اثر التحفيز الداخلي على مشاركة المعرفة التنظيمية	الإدارة_والسياسات_العامة	التنظيم
دراسة اثر التحفيز الداخلي على مشاركة المعرفة التنظيمية	الإدارة_والسياسات_العامة	تحفيز
دراسة العلاقة بين المعدل التراكمي للطالب في المقررات الكمية وبعض العوامل الاخرى مع التطبيق	الإدارة_والسياسات_العامة	التعليم
دراسة تحليلية لاتجاهات البحوث المحاسبية المنشورة في المملكة العربية السعودية	الإدارة_والسياسات_العامة	أطر نظرية
دراسة تحليلية لعوامل التخطيط العمراني المسببة للازدحامات المرورية داخل مدينة الرياض كنموذج للمدن	الإدارة_والسياسات_العامة	تشييد وعمران
دراسة تحليلية لعوامل التخطيط العمراني المسببة للازدحامات المرورية داخل مدينة الرياض كنموذج للمدن	الإدارة_والسياسات_العامة	المرور
دراسة تقويمية للفعالية التنظيمية للكليات التقنية بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	التعليم
دراسة تقويمية للفعالية التنظيمية للكليات التقنية بالمملكة العربية السعودية	الإدارة_والسياسات_العامة	التنظيم
دراسة مقارنة لنظرية القيود وأسلوب التحليل الحدى لاتخاذ قرارات المزج الأمثل للمنتجات	الإدارة_والسياسات_العامة	أطر نظرية
دراسة وتحليل العوامل المؤثرة على تطوير نشاط الجمعيات الخيرية في المملك العربية السعودية : دراسة	الإدارة_والسياسات_العامة	المنظمات غير الربحية
دراسة وتحليل العوامل المؤثرة على تطوير نشاط الجمعيات الخيرية في المملك العربية السعودية : دراسة	الإدارة_والسياسات_العامة	التطوير
درجة ممارسة أعضاء هيئة التدريس بجامعة أم القرى للقيادة الأخلاقية وإنعكاساتها على الطلبة	الإدارة_والسياسات_العامة	التعليم
درجة ممارسة أعضاء هيئة التدريس بجامعة أم القرى للقيادة الأخلاقية وإنعكاساتها على الطلبة	الإدارة_والسياسات_العامة	القيادة
دليل التخطيط للاجتماع الناجح	الإدارة_والسياسات_العامة	مؤتمرات واجتماعات وفاعليات
دليل العمل عن بعد	الإدارة_والسياسات_العامة	العمل عن بعد
دليل أعمال الشراء	الإدارة_والسياسات_العامة	المشتريات
دوافع التغيير في المحاسبة الادارية واتجاهات الاستجابه في الفكر والتطبيق العملي	الإدارة_والسياسات_العامة	إدارة التغيير
دور الإعلام في التوعية بالحوكمة: دراسة ميدانية على منسوبي الأجهزة الحكومية بمدينة الرياض	الإدارة_والسياسات_العامة	الحوكمة
دور الإعلام في التوعية بالحوكمة: دراسة ميدانية على منسوبي الأجهزة الحكومية بمدينة الرياض	الإدارة_والسياسات_العامة	علاقات عامة
دور الأجهزة الرقابية في تحسين أداء الأجهزة الحكومية في دول مجلس التعاون لدول الخليج العربية	الإدارة_والسياسات_العامة	الأجهزة الرقابية
دور الأجهزة الرقابية في تحسين أداء الأجهزة الحكومية في دول مجلس التعاون لدول الخليج العربية	الإدارة_والسياسات_العامة	إدارة الأداء ومؤشرات الأداء
